overall,functionality,code_quality,testing,execution,documentation,dependencies,security,vcs
74.25,60,88,50,88,60,78,78,92
55.5,0,72,30,75,52,70,70,75
55,55,78,20,65,50,75,25,72
59.25,70,72,25,75,25,72,60,75
52.13,70,75,25,55,45,72,0,75
56.75,68,72,30,72,65,0,72,75
36.25,0,75,35,65,35,80,0,0
68.125,72,72,50,72,50,82,72,75
67,75,58,50,60,55,85,75,78
69.125,75,78,60,72,50,70,70,78
33,75,68,45,0,0,0,0,72
68,85,72,45,70,45,82,65,78
71,88,70,45,78,55,82,72,78
61.25,85,70,50,72,50,85,0,78
64.125,85,75,50,25,50,78,72,78
49.25,85,72,50,0,30,82,0,75
61,75,68,50,80,55,85,0,75
58,85,72,20,75,55,78,0,78
56,75,75,45,55,50,70,0,78
60,80,70,50,75,35,0,75,78
44.12,75,0,50,78,0,0,75,75
